year;month;day;hour;T;Td;ur;pressure;WD;WS;u;v;precip;Sw_dw;Sw_up;Lw_dw;Lw_up;Sw_dif;Sw_par;RH_WXT;Temp_WXT;Net_CNR1;Net_NRLite;PSP_Wm2_Avg;oc_topo;decl_rad;elev_solar;ang_hor;ang_zen;ang_hor_por;nascer_h;por_h;ast_h;fc
2022;6;13;14;26.971666666666664;nan;86.29166666666667;1010.5666666666666;185.8294807085584;3.0044999999999997;0.30125292480473553;2.9506780983549206;0.0;524.5749999999999;82.0275;412.0333333333333;496.1583333333333;173.58333333333334;139.95166666666665;76.60583333333334;27.26666666666667;358.4166666666667;nan;148.79999999999998;834.556;0.405;0.682;0.639;0.889;-5.621;6.379;17.621;14.441;1.083
2022;6;13;15;27.239166666666666;nan;82.01666666666667;1010.4333333333334;170.29378914831514;2.7784166666666668;-0.44434491576271684;2.5978292057565255;0.0;374.9583333333333;58.341666666666676;416.3500000000001;490.0916666666667;168.33333333333334;103.65083333333332;72.81166666666667;27.465;242.86333333333332;nan;141.76666666666668;619.056;0.405;0.486;0.901;1.084;-5.621;6.379;17.621;15.441;1.083
2022;6;13;16;26.831666666666667;nan;81.52499999999999;1010.7583333333332;163.5629003447174;3.09325;-0.8726522250141003;2.9579452107237008;0.0;211.19166666666663;46.405833333333334;395.0833333333333;475.8916666666667;67.345;63.48666666666667;72.6975;26.993333333333336;83.995;nan;58.66916666666666;353.393;0.405;0.27;1.163;1.301;-5.621;6.379;17.621;16.441;1.083
2022;6;13;17;26.291666666666668;nan;82.68333333333334;1011.2499999999999;164.30728456966324;2.973333333333333;-0.8018642591077311;2.8541158607831165;0.0;34.54366666666667;7.820499999999999;394.6916666666666;463.53333333333336;20.056;15.094166666666665;73.65583333333332;26.580000000000002;-42.13049999999999;nan;16.28383333333333;55.667;0.405;0.042;1.424;1.529;-5.621;6.379;17.621;17.44;1.083
2022;6;13;18;26.0;nan;83.89166666666667;1011.6083333333332;163.51711663507788;3.21125;-0.9080144987824639;3.068771799993732;0.0;-1.3310833333333332;1.6696666666666662;404.09166666666664;456.2749999999999;-1.2860833333333332;4.301333333333334;74.85583333333334;26.326666666666668;-55.17333333333334;nan;-1.7706666666666664;0.0;0.405;-0.193;1.686;1.764;-5.621;6.379;17.621;18.44;1.083
2022;6;13;19;25.86916666666666;nan;82.93333333333334;1012.0416666666666;163.7260620089079;3.20175;-0.8948538324974651;3.0653367076677696;0.0;-1.3523333333333332;1.8244999999999998;399.6833333333332;452.6333333333334;-1.4873333333333332;4.239416666666666;73.97250000000001;26.19666666666667;-56.13499999999999;nan;-1.8535000000000001;0.0;0.405;-0.432;1.948;2.002;-5.621;6.379;17.621;19.44;1.083
2022;6;13;20;25.80333333333333;nan;82.83333333333334;1012.6333333333332;166.5377112145769;2.813833333333333;-0.6514461751260899;2.721358081158636;0.0;-1.3628333333333333;1.9002499999999998;397.84166666666664;450.6833333333334;-1.5181666666666667;4.2058333333333335;73.88666666666667;26.110000000000003;-56.110833333333325;nan;-1.8744166666666666;0.0;0.405;-0.672;2.21;2.243;-5.621;6.379;17.621;20.44;1.083
2022;6;13;21;25.74083333333333;nan;82.46666666666665;1013.1499999999997;164.4623788893822;2.498083333333334;-0.6632360541476716;2.3854684646476163;0.0;-1.6209166666666668;2.3156666666666665;387.1333333333334;448.2333333333333;-1.8732499999999996;4.1575;73.53583333333333;26.078333333333337;-65.02666666666666;nan;-2.3158333333333334;0.0;0.405;-0.911;2.471;2.482;-5.621;6.379;17.621;21.44;1.083
2022;6;13;22;25.675833333333333;nan;82.96666666666667;1013.3666666666664;164.92442704893702;2.502833333333333;-0.6470693667144052;2.402217196950228;0.0;-1.2403333333333333;1.9299166666666663;398.14166666666665;447.79166666666674;-1.4898333333333333;4.146916666666667;74.02083333333333;26.015;-52.81250000000001;nan;-1.78;0.0;0.405;-1.144;2.733;2.715;-5.621;6.379;17.621;22.44;1.083
2022;6;13;23;25.55416666666667;nan;81.71666666666667;1013.3166666666667;166.13462422345413;2.424166666666667;-0.5777948351873693;2.3408258090806444;0.0;-1.6626666666666665;2.42025;381.4083333333333;445.29166666666674;-2.0180833333333337;4.0767500000000005;72.85;25.884166666666662;-67.95166666666667;nan;-2.4930000000000003;0.0;0.405;-1.344;2.995;2.915;-5.621;6.379;17.621;23.44;1.082
